"TrackNum2_primary","n"
"1601659",20
"1601660",7
"1601661",8
"1601662",22
"1601665",3
"1601668",20
"1601669",27
"1601670",22
"1601671",27
"1601672",23
"1601673",22
"1601674",8
"1601675",13
"1601678",3
"1601680",21
"1601681",3
"1601682",7
"1601685",3
"1601686",22
"1601687",34
"1601688",3
"1601689",22
"1601690",9
"1601691",27
"1601692",22
"1601694",28
"1601695",24
"1601696",23
"1601697",8
"1601698",20
"1601699",20
"1601700",34
"1601703",22
"1601704",8
"1601707",27
"1601708",22
"1601709",5
"1601710",25
"1601712",28
"1601714",22
"1601715",22
"1601716",20
"1601717",29
"1601718",20
"1601719",20
"1601720",23
"1701001",34
"1701003",22
"1701004",22
"1701006",22
"1701008",22
"1701009",23
"1701011",23
"1701012",22
"1701015",23
"1701016",23
"1701017",22
"1701018",2
"1701019",3
"1701020",20
"1701021",9
"1701024",22
"1701028",23
"1701029",27
"1701030",22
"1701031",27
"1701032",22
"1701033",8
"1701034",1
"1701035",22
"1701036",23
"1701038",21
"1701039",24
"1701040",22
"1701041",22
"1701042",21
"1701045",23
"1701046",21
"1701047",5
"1701048",21
"1701049",9
"1701050",22
"1701051",22
"1701053",3
"1701057",24
"1701060",9
"1701061",22
"1701063",20
"1701064",7
"1701065",22
"1701066",28
"1701069",26
"1701071",23
"1701073",20
"1701074",27
"1701076",22
"1701077",22
"1701078",22
"1701081",22
"1701083",23
"1701086",27
"1701089",23
"1701090",24
"1701094",22
"1701098",8
"1701099",23
"1701101",22
"1701111",22
"1701115",22
"1701116",28
"1701117",28
"1701119",23
"1701120",28
"1701122",28
"1701128",28
"1701130",20
"1701132",24
"1701133",5
"1701134",23
"1701137",22
"1701138",3
"1701139",8
"1701141",8
"1701144",8
"1701145",23
"1701149",5
"1701151",3
"1701154",27
"1701157",3
"1701158",23
"1701160",8
"1701163",24
"1701167",10
"1701168",20
"1701172",23
"1701175",8
"1701176",25
"1701180",2
"1701183",20
"1701184",13
"1701186",22
"1701190",27
"1701191",6
"1701192",10
"1701195",25
"1701199",9
"1701200",20
"1701202",23
"1701203",25
"1701204",8
"1701205",24
"1701206",23
"1701207",7
"1701208",21
"1701209",23
"1701214",23
"1701215",22
"1701220",20
"1701221",28
"1701222",10
"1701223",3
"1701225",23
"1701226",5
"1701227",9
"1701228",20
"1701233",28
"1701239",28
"1701240",8
