"Long","n"
-109.334467,3
-109.330333,2
-109.329234,1
-109.32898,1
-109.328,1
-109.325439,2
-109.325283,1
-109.32203,1
-109.320368,1
-109.31886,1
-109.318818,1
-109.31778,1
-109.313583,1
-109.313133,1
-109.311944,1
-109.31045,1
-109.3086,1
-109.299918,1
-109.2962959,1
-109.296111,1
-109.2957516,1
-109.294444,1
-109.2938,1
-109.292717,1
-109.2912294,1
-109.2896816,2
-109.289681,1
-109.2875,1
-109.286834,1
-109.28611,1
-109.284485,1
-109.283056,1
-109.279467,1
-109.27833,1
-109.278191,1
-109.27561,2
-109.275167,1
-109.2747,1
-109.274361,2
-109.27227,1
-109.271523,1
-109.2688056,1
