"Lat","n"
45.77482,1
45.775104,1
45.775128,1
45.776566,1
45.776927,1
45.777341,1
45.77784,1
45.778028,1
45.778289,1
45.779921,1
45.780076,1
45.780194,1
45.780244,1
45.780268,2
45.780738,1
45.780964,1
45.781232,1
45.781385,1
45.781561,1
45.781977,1
45.7831,1
45.783621,2
45.783664,1
45.784273,1
45.784444,1
45.78478,2
45.78513,1
45.785183,1
45.785592,1
45.785713,2
45.78703,1
45.787486,2
45.788889,1
45.792692,1
45.792778,1
45.7931,1
45.793613,1
45.793638,1
45.794206,1
45.794484,2
45.79454,1
45.7946279,1
45.794652,1
45.794676,1
45.794749,2
45.7947496,2
45.7947659,1
45.795182,1
45.795189,1
45.795278,1
45.795333,1
45.796091,1
45.79615,1
45.798156,1
45.799971,1
45.8001309,1
45.800324,1
45.80047,1
45.800732,1
45.800864,1
45.801114,1
45.8012,1
45.801474,1
45.8015,1
45.801755,1
45.801828,1
45.802222,1
45.802417,1
45.802985,1
45.803608,1
45.807643,1
45.80863,1
45.808946,1
45.809136,1
45.809172,1
45.8092611,1
45.809444,1
45.810751,1
45.81083,1
45.810992,1
45.81411,1
45.814333,1
45.815694,1
45.816064,1
45.816876,1
45.817031,1
45.818396,1
45.819224,1
45.8202,1
45.821111,1
45.82126,1
45.821419,1
45.821945,1
45.8226177,2
45.8229155,1
45.8238,1
45.824498,1
45.82459,1
45.824722,1
45.825,1
45.8261938,1
45.827024,1
45.828663,1
45.829046,1
45.829444,1
45.8302176,1
45.830474,1
45.8312255,2
45.8314071,1
45.8329,1
45.834911,1
45.835833,1
45.8361298,1
45.83849,1
45.839167,1
45.83949,1
45.8397,1
45.84,1
45.840635,1
45.841111,1
45.84177,2
45.842251,1
45.84296,1
45.843702,1
45.845063,1
45.845683,1
45.84732,1
45.847499,1
45.848056,1
45.848419,1
45.848449,1
45.848645,1
45.848851,1
45.849722,1
45.8517331,1
45.851813,1
45.852351,2
45.852823,1
45.853204,1
45.854167,1
45.854861,1
45.855176,1
45.855278,1
45.85620821,1
45.857159,1
45.857295,1
45.857378,1
45.857503,1
45.85829,1
45.858381,1
45.859209,1
45.85979,1
45.859813,1
45.861275,3
45.8616,1
45.864335,1
45.865362,1
45.866233,1
45.866322,1
45.8668871,1
45.867683,1
45.86801,1
45.868557,1
45.86929,1
45.8704641,1
45.870467,1
45.87055,1
45.870929,2
45.871678,1
45.872283,1
45.873351,1
45.874444,1
45.8750996,1
45.875291,1
45.875658,3
45.875798,1
45.87586,1
45.875895,1
45.877,1
45.877706,1
45.877959,1
45.8779885,1
45.878333,1
45.878434,1
45.8785709,1
45.87859,1
45.87876,1
45.8788,1
45.878879,1
45.879285,2
45.87944,1
45.88093,1
45.881092,1
45.881724,1
45.881738,2
45.881852,1
45.8821,1
45.8824,1
45.8825141,1
45.883384,1
45.883791,1
45.884059,2
45.8841,2
45.884217,1
45.88448,1
45.885,1
45.885292,1
45.885317,1
45.88537,1
45.886012,1
45.88634,1
45.886418,1
45.886806,1
45.8874,1
45.887462,1
45.889021,1
45.8895,1
45.889631,1
45.8898197,1
45.891944,1
45.892257,1
45.892385,1
45.89333,1
45.893887,1
